Location,Process,Technology,Family,PYield,PrimePass,PrimeFail,PrimeHandle,TotYield,TotPass,TotFail,TotHandle,AvgPASSTime
MDB_Jaguariuna,CFC,ANDROID-LONDON23,LONDON23_ROW,99.49,786,4,790,99.37,790,5,795,739
MDB_Jaguariuna,CFC,ANDROID-CANCUN5G23,CANCUN5G23_LATAM,96.35,502,19,521,95.96,522,22,544,718
MDB_Jaguariuna,CFC,ANDROID-VENUS23,VENUS23_SUPER,98.15,266,5,271,98.21,275,5,280,633
MDB_Jaguariuna,CFC,ANDROID-BANGKOK5G23,BANGKOK5G23_LATAM,0,,,,100,3,,3,754
MDB_Jaguariuna,CFC,ANDROID-PENANGPLUS23,PENANGPLUS23_LATAM,0,,,,100,1,,1,712
MDB_Jaguariuna,DEPTHCAL,ANDROID-BORAG22,BORAG22_LATAM,99.89,1.809,2,1.811,99.84,1.878,3,1.881,43
MDB_Jaguariuna,DEPTHCAL,ANDROID-MIAMI22,MIAMI22_ROW,99.80,978,2,980,99.71,1.015,3,1.018,47
MDB_Jaguariuna,DEPTHCAL,ANDROID-LONDON23,LONDON23_ROW,99.78,888,2,890,99.69,978,3,981,22
MDB_Jaguariuna,DEPTHCAL,ANDROID-VENUS23,VENUS23_SUPER,98.90,451,5,456,98.82,502,6,508,28
MDB_Jaguariuna,DEPTHCAL,ANDROID-MANAUS5G23,MANAUS5G23,0,,2,2,0,,2,2,
MDB_Jaguariuna,DEPTHVAL,ANDROID-CANCUN23,CANCUN23_BRAZIL,99.68,4.021,13,4.034,99.66,4.077,14,4.091,34
MDB_Jaguariuna,DEPTHVAL,ANDROID-PENANG5G23,PENANG5G23_LATAM,99.58,3.056,13,3.069,99.46,3.135,17,3.152,25
MDB_Jaguariuna,DEPTHVAL,ANDROID-BORAG22,BORAG22_LATAM,99.37,1.902,12,1.914,99.14,1.970,17,1.987,37
MDB_Jaguariuna,DEPTHVAL,ANDROID-MIAMI22,MIAMI22_ROW,99.08,969,9,978,98.71,996,13,1.009,59
MDB_Jaguariuna,DEPTHVAL,ANDROID-CANCUN5G23,CANCUN5G23_LATAM,98.76,879,11,890,98.16,907,17,924,23
MDB_Jaguariuna,DEPTHVAL,ANDROID-LONDON23,LONDON23_ROW,99.77,882,2,884,99.69,971,3,974,31
MDB_Jaguariuna,DEPTHVAL,ANDROID-VENUS23,VENUS23_SUPER,96.67,436,15,451,96.57,479,17,496,44
MDB_Jaguariuna,DEPTHVAL,ANDROID-MANAUS5G23,MANAUS5G23,0,,2,2,0,,2,2,
MDB_Jaguariuna,FODTEST,ANDROID-MIAMI22,MIAMI22_ROW,99.37,948,6,954,99.12,1.013,9,1.022,53
